session_infomation,is_botnet
TCP 192.168.0.19:5267 > 211.233.18.17:80,1
UDP 192.168.0.19:60497 > 163.152.1.1:53,1
UDP 192.168.0.13:60228 > 210.89.164.90:8899,1
TCP 192.168.0.24:27730 > 104.118.198.184:27937,1
TCP 192.168.0.24:43238 > 104.118.134.215:459,1
TCP 110.76.141.37:443 > 192.168.0.16:56346,1
IP 104.118.134.215 > 192.168.0.24 proto=147,1
TCP 17.242.28.77:5223 > 192.168.0.16:52033,1
UDP 192.168.0.33:1900 > 239.255.255.250:1900,1
UDP 192.168.0.13:60210 > 210.89.164.90:8899,1
UDP 192.168.0.13:60212 > 210.89.164.90:8899,1
Ethernet type=0873,1
IP 192.168.0.16 > 224.0.0.251 proto=igmp,1
UDP 192.168.0.13:60209 > 210.89.164.90:8899,1
ARP 192.168.0.1 > 192.168.0.16,1
TCP 192.168.0.19:5413 > 130.198.91.98:443,1
UDP 192.168.0.19:60497 > 163.152.11.6:53,1
TCP 192.168.0.24:43238 > 104.118.134.215:443,1
TCP 192.168.0.19:3456 > 52.85.230.19:80,1
ARP 192.168.0.24 > 192.168.0.1,1
UDP 192.168.0.13:60225 > 210.89.164.90:8899,1
UDP 192.168.0.13:60202 > 210.89.164.90:8899,1
TCP 192.168.0.19:3969 > 216.58.197.206:443,1
