session_infomation,is_botnet
TCP 192.168.0.19:4602 > 106.14.51.2:443,1
TCP 104.74.152.109:443 > 192.168.0.14:51452,1
TCP 192.168.0.24:58740 > 8.8.8.8:53,1
UDP 192.168.0.13:64778 > 210.89.164.90:9988,1
TCP 192.168.0.19:4575 > 222.239.21.60:80,1
TCP 223.39.118.176:443 > 192.168.0.24:54630,1
UDP 192.168.0.33:62650 > 239.255.255.250:1900,1
UDP 192.168.0.13:51996 > 210.89.164.90:8899,1
UDP 192.168.0.13:64779 > 210.89.164.90:9988,1
TCP 192.168.0.19:4989 > 20.36.222.39:443,1
UDP 192.168.0.33:1900 > 239.255.255.250:1900,1
TCP 104.74.152.109:443 > 192.168.0.14:51456,1
IP 192.168.0.16 > 224.0.0.251 proto=igmp,1
TCP 192.216.164.116:32262 > 145.68.5.200:5192,1
TCP 223.39.123.191:443 > 192.168.0.24:43278,1
TCP 192.168.0.19:5051 > 188.172.208.140:443,1
UDP 192.168.0.13:42005 > 163.152.1.1:53,1
UDP 163.152.1.1:53 > 192.168.0.24:38243,1
ARP 192.168.0.1 > 192.168.0.16,1
UDP 192.168.0.13:64774 > 210.89.164.90:9988,1
TCP 192.168.0.19:5066 > 130.198.91.101:443,1
TCP 192.168.0.24:43238 > 104.118.134.215:443,1
TCP 192.168.0.19:5014 > 37.252.229.168:443,1
Ethernet type=81d9,1
UDP 192.168.0.13:64782 > 210.89.164.90:9988,1
TCP 192.168.0.19:3456 > 52.85.230.19:80,1
TCP 192.168.0.19:4083 > 52.85.124.169:443,1
UDP 192.168.0.19:51652 > 163.152.1.1:53,1
TCP 192.168.0.19:5111 > 47.74.170.156:5222,1
TCP 192.168.0.19:5001 > 130.198.91.101:443,1
UDP 192.168.0.19:56854 > 163.152.11.6:53,1
Ethernet type=46d0,1
ARP 192.168.0.24 > 192.168.0.1,1
TCP 192.168.0.19:4142 > 203.205.146.45:80,1
TCP 192.168.0.19:5086 > 203.205.146.45:80,1
UDP 192.168.0.13:51993 > 210.89.164.90:8899,1
TCP 192.168.0.19:4967 > 40.90.23.230:443,1
UDP 192.168.0.13:64781 > 210.89.164.90:9988,1
